role,sub_role,email,password,verified
public,,public.001@lifelink.demo,Demo@2026!,true
public,,public.002@lifelink.demo,Demo@2026!,true
public,,public.003@lifelink.demo,Demo@2026!,true
public,,public.004@lifelink.demo,Demo@2026!,true
public,,public.005@lifelink.demo,Demo@2026!,true
public,,public.006@lifelink.demo,Demo@2026!,true
public,,public.007@lifelink.demo,Demo@2026!,true
public,,public.008@lifelink.demo,Demo@2026!,true
public,,public.009@lifelink.demo,Demo@2026!,true
public,,public.010@lifelink.demo,Demo@2026!,true
public,,public.011@lifelink.demo,Demo@2026!,true
public,,public.012@lifelink.demo,Demo@2026!,true
public,,public.013@lifelink.demo,Demo@2026!,true
public,,public.014@lifelink.demo,Demo@2026!,true
public,,public.015@lifelink.demo,Demo@2026!,true
public,,public.016@lifelink.demo,Demo@2026!,true
public,,public.017@lifelink.demo,Demo@2026!,true
public,,public.018@lifelink.demo,Demo@2026!,true
public,,public.019@lifelink.demo,Demo@2026!,true
public,,public.020@lifelink.demo,Demo@2026!,true
public,,public.021@lifelink.demo,Demo@2026!,true
public,,public.022@lifelink.demo,Demo@2026!,true
public,,public.023@lifelink.demo,Demo@2026!,true
public,,public.024@lifelink.demo,Demo@2026!,true
public,,public.025@lifelink.demo,Demo@2026!,true
public,,public.026@lifelink.demo,Demo@2026!,true
public,,public.027@lifelink.demo,Demo@2026!,true
public,,public.028@lifelink.demo,Demo@2026!,true
public,,public.029@lifelink.demo,Demo@2026!,true
public,,public.030@lifelink.demo,Demo@2026!,true
public,,public.031@lifelink.demo,Demo@2026!,true
public,,public.032@lifelink.demo,Demo@2026!,true
public,,public.033@lifelink.demo,Demo@2026!,true
public,,public.034@lifelink.demo,Demo@2026!,true
public,,public.035@lifelink.demo,Demo@2026!,true
public,,public.036@lifelink.demo,Demo@2026!,true
public,,public.037@lifelink.demo,Demo@2026!,true
public,,public.038@lifelink.demo,Demo@2026!,true
public,,public.039@lifelink.demo,Demo@2026!,true
public,,public.040@lifelink.demo,Demo@2026!,true
public,,public.041@lifelink.demo,Demo@2026!,true
public,,public.042@lifelink.demo,Demo@2026!,true
public,,public.043@lifelink.demo,Demo@2026!,true
public,,public.044@lifelink.demo,Demo@2026!,true
public,,public.045@lifelink.demo,Demo@2026!,true
public,,public.046@lifelink.demo,Demo@2026!,true
public,,public.047@lifelink.demo,Demo@2026!,true
public,,public.048@lifelink.demo,Demo@2026!,true
public,,public.049@lifelink.demo,Demo@2026!,true
public,,public.050@lifelink.demo,Demo@2026!,true
public,,public.051@lifelink.demo,Demo@2026!,true
public,,public.052@lifelink.demo,Demo@2026!,true
public,,public.053@lifelink.demo,Demo@2026!,true
public,,public.054@lifelink.demo,Demo@2026!,true
public,,public.055@lifelink.demo,Demo@2026!,true
public,,public.056@lifelink.demo,Demo@2026!,true
public,,public.057@lifelink.demo,Demo@2026!,true
public,,public.058@lifelink.demo,Demo@2026!,true
public,,public.059@lifelink.demo,Demo@2026!,true
public,,public.060@lifelink.demo,Demo@2026!,true
public,,public.061@lifelink.demo,Demo@2026!,true
public,,public.062@lifelink.demo,Demo@2026!,true
public,,public.063@lifelink.demo,Demo@2026!,true
public,,public.064@lifelink.demo,Demo@2026!,true
public,,public.065@lifelink.demo,Demo@2026!,true
public,,public.066@lifelink.demo,Demo@2026!,true
public,,public.067@lifelink.demo,Demo@2026!,true
public,,public.068@lifelink.demo,Demo@2026!,true
public,,public.069@lifelink.demo,Demo@2026!,true
public,,public.070@lifelink.demo,Demo@2026!,true
public,,public.071@lifelink.demo,Demo@2026!,true
public,,public.072@lifelink.demo,Demo@2026!,true
public,,public.073@lifelink.demo,Demo@2026!,true
public,,public.074@lifelink.demo,Demo@2026!,true
public,,public.075@lifelink.demo,Demo@2026!,true
public,,public.076@lifelink.demo,Demo@2026!,true
public,,public.077@lifelink.demo,Demo@2026!,true
public,,public.078@lifelink.demo,Demo@2026!,true
public,,public.079@lifelink.demo,Demo@2026!,true
public,,public.080@lifelink.demo,Demo@2026!,true
public,,public.081@lifelink.demo,Demo@2026!,true
public,,public.082@lifelink.demo,Demo@2026!,true
public,,public.083@lifelink.demo,Demo@2026!,true
public,,public.084@lifelink.demo,Demo@2026!,true
public,,public.085@lifelink.demo,Demo@2026!,true
public,,public.086@lifelink.demo,Demo@2026!,true
public,,public.087@lifelink.demo,Demo@2026!,true
public,,public.088@lifelink.demo,Demo@2026!,true
public,,public.089@lifelink.demo,Demo@2026!,true
public,,public.090@lifelink.demo,Demo@2026!,true
public,,public.091@lifelink.demo,Demo@2026!,true
public,,public.092@lifelink.demo,Demo@2026!,true
public,,public.093@lifelink.demo,Demo@2026!,true
public,,public.094@lifelink.demo,Demo@2026!,true
public,,public.095@lifelink.demo,Demo@2026!,true
public,,public.096@lifelink.demo,Demo@2026!,true
public,,public.097@lifelink.demo,Demo@2026!,true
public,,public.098@lifelink.demo,Demo@2026!,true
public,,public.099@lifelink.demo,Demo@2026!,true
public,,public.100@lifelink.demo,Demo@2026!,true
government,national_admin,government.001@lifelink.demo,Demo@2026!,true
government,state_admin,government.002@lifelink.demo,Demo@2026!,true
government,district_admin,government.003@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.004@lifelink.demo,Demo@2026!,true
government,national_admin,government.005@lifelink.demo,Demo@2026!,true
government,state_admin,government.006@lifelink.demo,Demo@2026!,true
government,district_admin,government.007@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.008@lifelink.demo,Demo@2026!,true
government,national_admin,government.009@lifelink.demo,Demo@2026!,true
government,state_admin,government.010@lifelink.demo,Demo@2026!,true
government,district_admin,government.011@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.012@lifelink.demo,Demo@2026!,true
government,national_admin,government.013@lifelink.demo,Demo@2026!,true
government,state_admin,government.014@lifelink.demo,Demo@2026!,true
government,district_admin,government.015@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.016@lifelink.demo,Demo@2026!,true
government,national_admin,government.017@lifelink.demo,Demo@2026!,true
government,state_admin,government.018@lifelink.demo,Demo@2026!,true
government,district_admin,government.019@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.020@lifelink.demo,Demo@2026!,true
government,national_admin,government.021@lifelink.demo,Demo@2026!,true
government,state_admin,government.022@lifelink.demo,Demo@2026!,true
government,district_admin,government.023@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.024@lifelink.demo,Demo@2026!,true
government,national_admin,government.025@lifelink.demo,Demo@2026!,true
government,state_admin,government.026@lifelink.demo,Demo@2026!,true
government,district_admin,government.027@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.028@lifelink.demo,Demo@2026!,true
government,national_admin,government.029@lifelink.demo,Demo@2026!,true
government,state_admin,government.030@lifelink.demo,Demo@2026!,true
government,district_admin,government.031@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.032@lifelink.demo,Demo@2026!,true
government,national_admin,government.033@lifelink.demo,Demo@2026!,true
government,state_admin,government.034@lifelink.demo,Demo@2026!,true
government,district_admin,government.035@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.036@lifelink.demo,Demo@2026!,true
government,national_admin,government.037@lifelink.demo,Demo@2026!,true
government,state_admin,government.038@lifelink.demo,Demo@2026!,true
government,district_admin,government.039@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.040@lifelink.demo,Demo@2026!,true
government,national_admin,government.041@lifelink.demo,Demo@2026!,true
government,state_admin,government.042@lifelink.demo,Demo@2026!,true
government,district_admin,government.043@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.044@lifelink.demo,Demo@2026!,true
government,national_admin,government.045@lifelink.demo,Demo@2026!,true
government,state_admin,government.046@lifelink.demo,Demo@2026!,true
government,district_admin,government.047@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.048@lifelink.demo,Demo@2026!,true
government,national_admin,government.049@lifelink.demo,Demo@2026!,true
government,state_admin,government.050@lifelink.demo,Demo@2026!,true
government,district_admin,government.051@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.052@lifelink.demo,Demo@2026!,true
government,national_admin,government.053@lifelink.demo,Demo@2026!,true
government,state_admin,government.054@lifelink.demo,Demo@2026!,true
government,district_admin,government.055@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.056@lifelink.demo,Demo@2026!,true
government,national_admin,government.057@lifelink.demo,Demo@2026!,true
government,state_admin,government.058@lifelink.demo,Demo@2026!,true
government,district_admin,government.059@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.060@lifelink.demo,Demo@2026!,true
government,national_admin,government.061@lifelink.demo,Demo@2026!,true
government,state_admin,government.062@lifelink.demo,Demo@2026!,true
government,district_admin,government.063@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.064@lifelink.demo,Demo@2026!,true
government,national_admin,government.065@lifelink.demo,Demo@2026!,true
government,state_admin,government.066@lifelink.demo,Demo@2026!,true
government,district_admin,government.067@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.068@lifelink.demo,Demo@2026!,true
government,national_admin,government.069@lifelink.demo,Demo@2026!,true
government,state_admin,government.070@lifelink.demo,Demo@2026!,true
government,district_admin,government.071@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.072@lifelink.demo,Demo@2026!,true
government,national_admin,government.073@lifelink.demo,Demo@2026!,true
government,state_admin,government.074@lifelink.demo,Demo@2026!,true
government,district_admin,government.075@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.076@lifelink.demo,Demo@2026!,true
government,national_admin,government.077@lifelink.demo,Demo@2026!,true
government,state_admin,government.078@lifelink.demo,Demo@2026!,true
government,district_admin,government.079@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.080@lifelink.demo,Demo@2026!,true
government,national_admin,government.081@lifelink.demo,Demo@2026!,true
government,state_admin,government.082@lifelink.demo,Demo@2026!,true
government,district_admin,government.083@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.084@lifelink.demo,Demo@2026!,true
government,national_admin,government.085@lifelink.demo,Demo@2026!,true
government,state_admin,government.086@lifelink.demo,Demo@2026!,true
government,district_admin,government.087@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.088@lifelink.demo,Demo@2026!,true
government,national_admin,government.089@lifelink.demo,Demo@2026!,true
government,state_admin,government.090@lifelink.demo,Demo@2026!,true
government,district_admin,government.091@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.092@lifelink.demo,Demo@2026!,true
government,national_admin,government.093@lifelink.demo,Demo@2026!,true
government,state_admin,government.094@lifelink.demo,Demo@2026!,true
government,district_admin,government.095@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.096@lifelink.demo,Demo@2026!,true
government,national_admin,government.097@lifelink.demo,Demo@2026!,true
government,state_admin,government.098@lifelink.demo,Demo@2026!,true
government,district_admin,government.099@lifelink.demo,Demo@2026!,true
government,supervisory_authority,government.100@lifelink.demo,Demo@2026!,true
hospital,ceo,hospital.001@lifelink.demo,Demo@2026!,false
hospital,finance,hospital.002@lifelink.demo,Demo@2026!,true
hospital,emergency,hospital.003@lifelink.demo,Demo@2026!,true
hospital,opd,hospital.004@lifelink.demo,Demo@2026!,false
hospital,icu,hospital.005@lifelink.demo,Demo@2026!,true
